event_id,lead_id,stage,stage_date,revenue
EVT000001,L00001,Lead,2025-03-25,0.0
EVT000002,L00001,Lost,2025-04-04,0.0
EVT000003,L00002,Lead,2025-06-11,0.0
EVT000004,L00002,MQL,2025-06-24,0.0
EVT000005,L00002,Lost,2025-07-13,0.0
EVT000006,L00003,Lead,2025-04-10,0.0
EVT000007,L00003,MQL,2025-04-14,0.0
EVT000008,L00003,SQL,2025-04-18,0.0
EVT000009,L00003,Customer,2025-05-05,6804.92
EVT000010,L00004,Lead,2025-06-02,0.0
EVT000011,L00004,Lost,2025-06-07,0.0
EVT000012,L00005,Lead,2025-04-29,0.0
EVT000013,L00005,MQL,2025-05-08,0.0
EVT000014,L00005,Lost,2025-05-22,0.0
EVT000015,L00006,Lead,2025-01-15,0.0
EVT000016,L00006,Lost,2025-01-30,0.0
EVT000017,L00007,Lead,2025-04-09,0.0
EVT000018,L00007,Lost,2025-04-25,0.0
EVT000019,L00008,Lead,2025-05-10,0.0
EVT000020,L00008,MQL,2025-05-19,0.0
EVT000021,L00008,SQL,2025-06-05,0.0
EVT000022,L00008,Lost,2025-07-09,0.0
EVT000023,L00009,Lead,2025-04-17,0.0
EVT000024,L00009,MQL,2025-04-28,0.0
EVT000025,L00009,Lost,2025-05-04,0.0
EVT000026,L00010,Lead,2025-05-02,0.0
EVT000027,L00010,Lost,2025-05-10,0.0
EVT000028,L00011,Lead,2025-01-07,0.0
EVT000029,L00011,Lost,2025-01-23,0.0
EVT000030,L00012,Lead,2025-03-10,0.0
EVT000031,L00012,MQL,2025-03-15,0.0
EVT000032,L00012,Lost,2025-03-24,0.0
EVT000033,L00013,Lead,2025-05-05,0.0
EVT000034,L00013,Lost,2025-05-24,0.0
EVT000035,L00014,Lead,2025-01-22,0.0
EVT000036,L00014,Lost,2025-02-11,0.0
EVT000037,L00015,Lead,2025-04-13,0.0
EVT000038,L00015,Lost,2025-04-18,0.0
EVT000039,L00016,Lead,2025-03-24,0.0
EVT000040,L00016,Lost,2025-04-11,0.0
EVT000041,L00017,Lead,2025-06-17,0.0
EVT000042,L00017,Lost,2025-07-07,0.0
EVT000043,L00018,Lead,2025-06-18,0.0
EVT000044,L00018,MQL,2025-07-01,0.0
EVT000045,L00018,Lost,2025-07-10,0.0
EVT000046,L00019,Lead,2025-05-31,0.0
EVT000047,L00019,Lost,2025-06-06,0.0
EVT000048,L00020,Lead,2025-02-02,0.0
EVT000049,L00020,Lost,2025-02-17,0.0
EVT000050,L00021,Lead,2025-06-29,0.0
EVT000051,L00021,MQL,2025-07-07,0.0
EVT000052,L00021,Lost,2025-07-14,0.0
EVT000053,L00022,Lead,2025-05-17,0.0
EVT000054,L00022,MQL,2025-05-30,0.0
EVT000055,L00022,Lost,2025-06-10,0.0
EVT000056,L00023,Lead,2025-03-07,0.0
EVT000057,L00023,Lost,2025-03-22,0.0
EVT000058,L00024,Lead,2025-01-19,0.0
EVT000059,L00024,MQL,2025-01-27,0.0
EVT000060,L00024,SQL,2025-02-13,0.0
EVT000061,L00024,Lost,2025-03-20,0.0
EVT000062,L00025,Lead,2025-06-18,0.0
EVT000063,L00025,Lost,2025-06-30,0.0
EVT000064,L00026,Lead,2025-03-26,0.0
EVT000065,L00026,Lost,2025-04-04,0.0
EVT000066,L00027,Lead,2025-02-27,0.0
EVT000067,L00027,MQL,2025-03-04,0.0
EVT000068,L00027,SQL,2025-03-09,0.0
EVT000069,L00027,Lost,2025-04-04,0.0
EVT000070,L00028,Lead,2025-03-16,0.0
EVT000071,L00028,MQL,2025-03-26,0.0
EVT000072,L00028,SQL,2025-04-09,0.0
EVT000073,L00028,Lost,2025-05-09,0.0
EVT000074,L00029,Lead,2025-04-23,0.0
EVT000075,L00029,Lost,2025-05-09,0.0
EVT000076,L00030,Lead,2025-03-08,0.0
EVT000077,L00030,Lost,2025-03-11,0.0
EVT000078,L00031,Lead,2025-04-10,0.0
EVT000079,L00031,Lost,2025-04-24,0.0
EVT000080,L00032,Lead,2025-02-01,0.0
EVT000081,L00032,MQL,2025-02-07,0.0
EVT000082,L00032,Lost,2025-03-03,0.0
EVT000083,L00033,Lead,2025-02-05,0.0
EVT000084,L00033,MQL,2025-02-12,0.0
EVT000085,L00033,SQL,2025-03-04,0.0
EVT000086,L00033,Customer,2025-04-08,4618.12
EVT000087,L00034,Lead,2025-01-06,0.0
EVT000088,L00034,MQL,2025-01-08,0.0
EVT000089,L00034,Lost,2025-01-27,0.0
EVT000090,L00035,Lead,2025-03-01,0.0
EVT000091,L00035,MQL,2025-03-13,0.0
EVT000092,L00035,Lost,2025-03-21,0.0
EVT000093,L00036,Lead,2025-02-24,0.0
EVT000094,L00036,MQL,2025-02-28,0.0
EVT000095,L00036,SQL,2025-03-16,0.0
EVT000096,L00036,Lost,2025-04-05,0.0
EVT000097,L00037,Lead,2025-01-30,0.0
EVT000098,L00037,MQL,2025-02-05,0.0
EVT000099,L00037,SQL,2025-02-22,0.0
EVT000100,L00037,Lost,2025-03-24,0.0
EVT000101,L00038,Lead,2025-03-22,0.0
EVT000102,L00038,Lost,2025-03-25,0.0
EVT000103,L00039,Lead,2025-05-23,0.0
EVT000104,L00039,MQL,2025-05-27,0.0
EVT000105,L00039,Lost,2025-06-20,0.0
EVT000106,L00040,Lead,2025-02-28,0.0
EVT000107,L00040,Lost,2025-03-06,0.0
EVT000108,L00041,Lead,2025-05-06,0.0
EVT000109,L00041,MQL,2025-05-09,0.0
EVT000110,L00041,SQL,2025-05-12,0.0
EVT000111,L00041,Customer,2025-05-18,13701.21
EVT000112,L00042,Lead,2025-05-06,0.0
EVT000113,L00042,Lost,2025-05-26,0.0
EVT000114,L00043,Lead,2025-04-30,0.0
EVT000115,L00043,MQL,2025-05-09,0.0
EVT000116,L00043,Lost,2025-05-21,0.0
EVT000117,L00044,Lead,2025-01-30,0.0
EVT000118,L00044,MQL,2025-02-07,0.0
EVT000119,L00044,SQL,2025-02-17,0.0
EVT000120,L00044,Lost,2025-02-27,0.0
EVT000121,L00045,Lead,2025-05-23,0.0
EVT000122,L00045,Lost,2025-05-27,0.0
EVT000123,L00046,Lead,2025-01-08,0.0
EVT000124,L00046,Lost,2025-01-14,0.0
EVT000125,L00047,Lead,2025-03-21,0.0
EVT000126,L00047,Lost,2025-03-27,0.0
EVT000127,L00048,Lead,2025-01-07,0.0
EVT000128,L00048,MQL,2025-01-17,0.0
EVT000129,L00048,SQL,2025-02-04,0.0
EVT000130,L00048,Customer,2025-03-12,15257.39
EVT000131,L00049,Lead,2025-06-04,0.0
EVT000132,L00049,Lost,2025-06-07,0.0
EVT000133,L00050,Lead,2025-01-10,0.0
EVT000134,L00050,MQL,2025-01-24,0.0
