lead_id,stage,stage_date,revenue
L00001,Lead,2025-03-25,0.0
L00001,Lost,2025-04-04,0.0
L00002,Lead,2025-06-11,0.0
L00002,MQL,2025-06-24,0.0
L00002,Lost,2025-07-13,0.0
L00003,Lead,2025-04-10,0.0
L00003,MQL,2025-04-14,0.0
L00003,SQL,2025-04-18,0.0
L00003,Customer,2025-05-05,6804.92
L00004,Lead,2025-06-02,0.0
L00004,Lost,2025-06-07,0.0
L00005,Lead,2025-04-29,0.0
L00005,MQL,2025-05-08,0.0
L00005,Lost,2025-05-22,0.0
L00006,Lead,2025-01-15,0.0
L00006,Lost,2025-01-30,0.0
L00007,Lead,2025-04-09,0.0
L00007,Lost,2025-04-25,0.0
L00008,Lead,2025-05-10,0.0
L00008,MQL,2025-05-19,0.0
L00008,SQL,2025-06-05,0.0
L00008,Lost,2025-07-09,0.0
L00009,Lead,2025-04-17,0.0
L00009,MQL,2025-04-28,0.0
L00009,Lost,2025-05-04,0.0
L00010,Lead,2025-05-02,0.0
L00010,Lost,2025-05-10,0.0
L00011,Lead,2025-01-07,0.0
L00011,Lost,2025-01-23,0.0
L00012,Lead,2025-03-10,0.0
L00012,MQL,2025-03-15,0.0
L00012,Lost,2025-03-24,0.0
L00013,Lead,2025-05-05,0.0
L00013,Lost,2025-05-24,0.0
L00014,Lead,2025-01-22,0.0
L00014,Lost,2025-02-11,0.0
L00015,Lead,2025-04-13,0.0
L00015,Lost,2025-04-18,0.0
L00016,Lead,2025-03-24,0.0
L00016,Lost,2025-04-11,0.0
L00017,Lead,2025-06-17,0.0
L00017,Lost,2025-07-07,0.0
L00018,Lead,2025-06-18,0.0
L00018,MQL,2025-07-01,0.0
L00018,Lost,2025-07-10,0.0
L00019,Lead,2025-05-31,0.0
L00019,Lost,2025-06-06,0.0
L00020,Lead,2025-02-02,0.0
L00020,Lost,2025-02-17,0.0
L00021,Lead,2025-06-29,0.0
L00021,MQL,2025-07-07,0.0
L00021,Lost,2025-07-14,0.0
L00022,Lead,2025-05-17,0.0
L00022,MQL,2025-05-30,0.0
L00022,Lost,2025-06-10,0.0
L00023,Lead,2025-03-07,0.0
L00023,Lost,2025-03-22,0.0
L00024,Lead,2025-01-19,0.0
L00024,MQL,2025-01-27,0.0
L00024,SQL,2025-02-13,0.0
L00024,Lost,2025-03-20,0.0
L00025,Lead,2025-06-18,0.0
L00025,Lost,2025-06-30,0.0
L00026,Lead,2025-03-26,0.0
L00026,Lost,2025-04-04,0.0
L00027,Lead,2025-02-27,0.0
L00027,MQL,2025-03-04,0.0
L00027,SQL,2025-03-09,0.0
L00027,Lost,2025-04-04,0.0
L00028,Lead,2025-03-16,0.0
L00028,MQL,2025-03-26,0.0
L00028,SQL,2025-04-09,0.0
L00028,Lost,2025-05-09,0.0
L00029,Lead,2025-04-23,0.0
L00029,Lost,2025-05-09,0.0
L00030,Lead,2025-03-08,0.0
L00030,Lost,2025-03-11,0.0
L00031,Lead,2025-04-10,0.0
L00031,Lost,2025-04-24,0.0
L00032,Lead,2025-02-01,0.0
L00032,MQL,2025-02-07,0.0
L00032,Lost,2025-03-03,0.0
L00033,Lead,2025-02-05,0.0
L00033,MQL,2025-02-12,0.0
L00033,SQL,2025-03-04,0.0
L00033,Customer,2025-04-08,4618.12
L00034,Lead,2025-01-06,0.0
