lead_id,created_date,channel,campaign,region,company_size,industry,acquisition_cost
L00001,2025-03-25,Webinar,Finance Automation Webinar,US,Enterprise,Healthcare,38.15
L00002,2025-06-11,Email,Product Update,US,Enterprise,Healthcare,26.38
L00003,2025-04-10,Organic Search,SEO Evergreen,US,SMB,Retail,12.34
L00004,2025-06-02,Organic Search,Blog CTA,US,SMB,Logistics,11.88
L00005,2025-04-29,Referral,Customer Referral,UK,Mid-Market,Healthcare,9.08
L00006,2025-01-15,Organic Search,Comparison Pages,Canada,Enterprise,Retail,5.97
L00007,2025-04-09,Webinar,Finance Automation Webinar,UK,SMB,Manufacturing,53.46
L00008,2025-05-10,Referral,Partner Referral,US,Mid-Market,Logistics,14.82
L00009,2025-04-17,Webinar,Finance Automation Webinar,US,Mid-Market,Healthcare,56.54
L00010,2025-05-02,Organic Search,SEO Evergreen,UK,SMB,SaaS,5.52
L00011,2025-01-07,Email,Nurture Flow,UK,SMB,Retail,24.93
L00012,2025-03-10,Google Ads,Competitor Terms,Canada,SMB,Retail,69.9
L00013,2025-05-05,Referral,Customer Referral,US,Mid-Market,Healthcare,6.35
L00014,2025-01-22,Email,Reactivation,US,Enterprise,Manufacturing,14.24
L00015,2025-04-13,LinkedIn,ABM Decision Makers,UK,Mid-Market,SaaS,79.85
L00016,2025-03-24,Organic Search,Comparison Pages,UK,Mid-Market,SaaS,12.06
L00017,2025-06-17,Organic Search,Blog CTA,US,Mid-Market,SaaS,7.54
L00018,2025-06-18,Organic Search,Comparison Pages,UK,SMB,Healthcare,4.74
L00019,2025-05-31,Organic Search,Blog CTA,US,Mid-Market,Healthcare,9.33
L00020,2025-02-02,LinkedIn,Finance Leaders,Canada,Mid-Market,SaaS,64.23
L00021,2025-06-29,Referral,Partner Referral,US,Mid-Market,Retail,16.05
L00022,2025-05-17,Google Ads,Search Campaign,US,SMB,Manufacturing,91.85
L00023,2025-03-07,Webinar,Finance Automation Webinar,US,Mid-Market,Healthcare,27.03
L00024,2025-01-19,Google Ads,Search Campaign,Canada,SMB,Retail,91.17
L00025,2025-06-18,LinkedIn,Ops Leaders,Canada,SMB,Healthcare,74.82
L00026,2025-03-26,LinkedIn,Finance Leaders,UK,SMB,Retail,95.05
L00027,2025-02-27,Email,Nurture Flow,US,SMB,SaaS,19.59
L00028,2025-03-16,Referral,Customer Referral,UK,Enterprise,Retail,11.29
L00029,2025-04-23,Referral,Partner Referral,US,Enterprise,Finance,10.79
L00030,2025-03-08,LinkedIn,ABM Decision Makers,UK,SMB,SaaS,90.71
L00031,2025-04-10,LinkedIn,Finance Leaders,UK,SMB,SaaS,101.84
L00032,2025-02-01,Google Ads,Brand Campaign,Canada,SMB,Healthcare,74.57
L00033,2025-02-05,Email,Nurture Flow,US,Mid-Market,Manufacturing,20.95
L00034,2025-01-06,Organic Search,SEO Evergreen,US,Mid-Market,Manufacturing,8.61
L00035,2025-03-01,Google Ads,Competitor Terms,UK,Mid-Market,Logistics,84.8
L00036,2025-02-24,Webinar,Workflow Optimization Session,US,SMB,Logistics,49.54
L00037,2025-01-30,Organic Search,Blog CTA,US,Mid-Market,Logistics,7.92
L00038,2025-03-22,Webinar,Workflow Optimization Session,US,Mid-Market,Logistics,39.16
L00039,2025-05-23,Referral,Customer Referral,Canada,Mid-Market,Healthcare,11.35
L00040,2025-02-28,Organic Search,Blog CTA,US,Mid-Market,SaaS,6.97
L00041,2025-05-06,LinkedIn,Ops Leaders,US,SMB,Manufacturing,93.86
L00042,2025-05-06,Organic Search,Comparison Pages,US,Mid-Market,SaaS,8.07
L00043,2025-04-30,Referral,Customer Referral,US,SMB,Finance,6.57
L00044,2025-01-30,Organic Search,Blog CTA,US,Enterprise,SaaS,3.18
L00045,2025-05-23,LinkedIn,Ops Leaders,UK,Mid-Market,Logistics,73.05
L00046,2025-01-08,Webinar,Workflow Optimization Session,Canada,SMB,Manufacturing,30.83
L00047,2025-03-21,Organic Search,SEO Evergreen,Canada,Mid-Market,Finance,9.52
L00048,2025-01-07,Referral,Customer Referral,US,SMB,SaaS,11.31
L00049,2025-06-04,LinkedIn,Ops Leaders,US,Mid-Market,Manufacturing,87.91
L00050,2025-01-10,Email,Product Update,US,Enterprise,Healthcare,10.1
L00051,2025-05-10,LinkedIn,Ops Leaders,US,Enterprise,Finance,126.98
L00052,2025-01-01,Referral,Partner Referral,Canada,Mid-Market,SaaS,10.89
L00053,2025-04-15,Organic Search,Comparison Pages,US,Enterprise,Logistics,3.49
L00054,2025-05-16,Email,Product Update,Canada,Enterprise,SaaS,10.07
L00055,2025-03-23,Organic Search,SEO Evergreen,UK,SMB,SaaS,13.54
L00056,2025-06-10,Organic Search,SEO Evergreen,US,Mid-Market,Logistics,13.22
L00057,2025-05-26,Organic Search,Comparison Pages,Canada,SMB,Logistics,13.4
L00058,2025-05-05,Referral,Customer Referral,US,Mid-Market,Manufacturing,10.61
L00059,2025-05-11,Email,Reactivation,UK,SMB,SaaS,18.13
L00060,2025-04-13,Email,Product Update,US,SMB,Logistics,23.12
L00061,2025-01-24,Organic Search,Comparison Pages,US,SMB,SaaS,5.63
L00062,2025-02-03,Email,Product Update,US,Mid-Market,Healthcare,11.49
L00063,2025-05-30,Referral,Customer Referral,Canada,Enterprise,Retail,13.89
L00064,2025-02-12,LinkedIn,ABM Decision Makers,UK,SMB,Logistics,70.87
L00065,2025-06-18,Referral,Partner Referral,UK,Mid-Market,Manufacturing,12.07
L00066,2025-05-03,Webinar,Finance Automation Webinar,US,Enterprise,Logistics,42.22
L00067,2025-04-18,Email,Reactivation,US,Mid-Market,Logistics,24.41
L00068,2025-01-30,Organic Search,SEO Evergreen,Canada,SMB,Healthcare,3.31
L00069,2025-03-03,LinkedIn,Finance Leaders,Canada,Mid-Market,SaaS,67.55
L00070,2025-02-17,Email,Nurture Flow,US,Mid-Market,Finance,20.48
L00071,2025-03-25,Email,Product Update,US,SMB,Manufacturing,16.1
L00072,2025-05-31,LinkedIn,Ops Leaders,US,Mid-Market,Logistics,62.41
L00073,2025-03-26,Webinar,Finance Automation Webinar,US,Enterprise,Healthcare,27
L00074,2025-05-21,Referral,Partner Referral,US,Enterprise,Finance,19.68
L00075,2025-05-06,Referral,Customer Referral,UK,Mid-Market,Logistics,13.4
L00076,2025-06-19,Google Ads,Search Campaign,UK,Mid-Market,Manufacturing,55.43
L00077,2025-04-23,Email,Reactivation,US,Mid-Market,Logistics,22.73
L00078,2025-02-15,Google Ads,Brand Campaign,US,SMB,Logistics,83.84
L00079,2025-01-06,Organic Search,SEO Evergreen,Canada,SMB,Manufacturing,5.79
L00080,2025-05-03,LinkedIn,ABM Decision Makers,US,Mid-Market,Finance,61.34
L00081,2025-04-30,Email,Reactivation,US,SMB,SaaS,27.83
L00082,2025-04-13,LinkedIn,ABM Decision Makers,Canada,Mid-Market,Healthcare,100.58
L00083,2025-03-16,Organic Search,Comparison Pages,US,SMB,Logistics,8.13
L00084,2025-06-26,Webinar,Finance Automation Webinar,Canada,Mid-Market,Healthcare,65.33
L00085,2025-01-21,Google Ads,Brand Campaign,US,Mid-Market,SaaS,88.3
L00086,2025-02-06,Organic Search,Blog CTA,UK,SMB,Logistics,6.9
L00087,2025-04-18,Referral,Customer Referral,Canada,Mid-Market,SaaS,19.59
L00088,2025-01-27,Email,Nurture Flow,US,SMB,Healthcare,28.51
L00089,2025-06-10,Google Ads,Competitor Terms,UK,SMB,Manufacturing,50.79
L00090,2025-02-27,LinkedIn,Finance Leaders,US,SMB,Healthcare,69.41
L00091,2025-04-12,Webinar,Workflow Optimization Session,US,SMB,Logistics,31.76
L00092,2025-01-22,LinkedIn,Ops Leaders,US,Mid-Market,Logistics,81.02
L00093,2025-02-21,LinkedIn,ABM Decision Makers,Canada,SMB,Finance,121.41
L00094,2025-04-21,Email,Reactivation,US,Enterprise,Healthcare,12.05
L00095,2025-02-27,Email,Product Update,US,Mid-Market,Logistics,13.49
L00096,2025-02-19,Organic Search,Blog CTA,US,Enterprise,Logistics,11.06
L00097,2025-05-25,Email,Nurture Flow,Canada,SMB,Manufacturing,29.59
L00098,2025-04-06,Email,Reactivation,Canada,SMB,Logistics,22.56
L00099,2025-01-08,LinkedIn,Ops Leaders,UK,Enterprise,Retail,60.64
L00100,2025-01-29,Referral,Customer Referral,US,Mid-Market,Healthcare,7.37
L00101,2025-01-09,LinkedIn,ABM Decision Makers,US,Mid-Market,Healthcare,83.63
L00102,2025-06-16,Referral,Customer Referral,US,SMB,Healthcare,7.7
L00103,2025-06-12,Organic Search,Blog CTA,US,Enterprise,Healthcare,4.52
L00104,2025-03-02,Organic Search,Comparison Pages,Canada,Enterprise,SaaS,13.93
L00105,2025-04-14,Email,Product Update,UK,Enterprise,SaaS,18.03
L00106,2025-04-06,Organic Search,Blog CTA,UK,Mid-Market,SaaS,12.3
L00107,2025-06-06,Referral,Customer Referral,US,Mid-Market,SaaS,17.14
L00108,2025-01-16,Organic Search,SEO Evergreen,US,SMB,SaaS,7.47
L00109,2025-01-01,Google Ads,Search Campaign,US,SMB,Logistics,66.52
L00110,2025-05-20,Webinar,Workflow Optimization Session,US,Mid-Market,Retail,39.8
L00111,2025-02-01,LinkedIn,ABM Decision Makers,Canada,Mid-Market,Healthcare,117.95
